Incident Dates,District,Battalion ,Number Of Incidents
2021/10/18,South of Market,B03,6
2018/06/18,Western Addition,B04,7
2021/10/09,Mission,B06,1
2021/10/17,Bernal Heights,B06,2
2021/10/15,Noe Valley,B06,1
2014/05/27,Chinatown,B01,4
2016/09/25,Lone Mountain/USF,B07,2
2020/10/19,Lone Mountain/USF,B05,2
2021/10/12,Bayview Hunters Point,B10,5
2016/09/07,Lakeshore,B08,3
2021/10/19,Hayes Valley,B02,2
2021/10/17,Bayview Hunters Point,B10,9
2021/10/18,Portola,B10,1
2021/10/18,Bayview Hunters Point,B10,3
2003/03/15,Tenderloin,B03,3
2003/05/25,Tenderloin,B05,2
2003/05/26,Western Addition,B05,1
2003/04/06,Castro/Upper Market,B05,1
2003/05/31,Castro/Upper Market,B06,1
2003/07/14,Mission,B06,7
2003/07/14,Bayview Hunters Point,B10,9
2003/07/23,Outer Mission,B09,3
2003/08/13,Sunset/Parkside,B08,3
2003/04/06,West of Twin Peaks,B08,1
2003/04/12,Oceanview/Merced/Ingleside,B09,2
2003/03/29,Twin Peaks,B08,1
2003/05/17,Inner Sunset,B05,1
2003/07/20,Inner Sunset,B08,1
2003/05/12,Sunset/Parkside,B08,2
2003/05/18,Sunset/Parkside,B08,6
2003/05/13,Bernal Heights,B06,3
2003/05/19,Excelsior,B09,2
2003/07/14,Bernal Heights,B06,7
2003/07/12,Oceanview/Merced/Ingleside,B09,3
2003/04/12,Outer Richmond,B07,5
2003/08/05,Financial District/South Beach,B03,8
2003/04/08,Bayview Hunters Point,B10,9
2003/04/13,Bayview Hunters Point,B10,4
2003/04/28,Portola,B10,1
2003/05/01,Bayview Hunters Point,B10,6
2003/05/04,Bernal Heights,B10,1
2003/05/04,Portola,B10,2
2003/05/19,Portola,B10,1
2003/05/25,Bernal Heights,B10,2
2003/05/25,Bayview Hunters Point,B10,8
2003/06/03,Portola,B09,1
2003/06/04,Portola,B10,1
2003/06/09,Bayview Hunters Point,B10,8
2003/06/09,Portola,B10,1
2003/06/15,Bayview Hunters Point,B10,8
2003/06/15,Portola,B10,2
2003/06/15,McLaren Park,B09,1
2003/06/18,Portola,B09,1
2003/07/03,Bayview Hunters Point,B10,6
2003/07/06,Bayview Hunters Point,B10,11
2003/07/06,Portola,B10,3
2003/07/07,Portola,B10,2
2003/07/24,Portola,B10,1
2003/05/28,Bayview Hunters Point,B10,9
2006/09/14,Financial District/South Beach,B03,4
2010/02/03,Financial District/South Beach,B01,7
2013/09/17,South of Market,B03,6
2003/10/18,South of Market,B03,4
2008/06/17,Tenderloin,B04,3
2011/07/06,Tenderloin,B04,3
2013/09/21,Tenderloin,B02,6
2003/07/16,Tenderloin,B04,1
2009/02/17,Western Addition,B04,1
2006/08/26,Mission,B06,5
2007/04/01,Mission,B02,2
2003/05/26,Mission,B06,3
2009/02/23,South of Market,B03,8
2009/09/23,Mission Bay,B03,1
2009/11/23,South of Market,B03,6
2009/11/23,Financial District/South Beach,B03,5
2009/11/24,South of Market,B03,10
2009/09/19,Mission,B06,5
2013/07/02,Lone Mountain/USF,B05,2
